partner,hs2_code,hs2_description,share_2015_pct,share_2024_pct,share_change_ppt
Italy,72,Iron & steel,16.07,17.85,1.78
Italy,85,Electrical & electronic equipment,26.59,24.83,-1.77
Italy,9,"Coffee, tea, spices",11.08,10.93,-0.15
Italy,64,Footwear,9.97,9.86,-0.11
Italy,94,Furniture & bedding,4.16,4.22,0.07
Italy,84,Machinery & mechanical appliances,6.65,6.71,0.06
Italy,44,Wood & articles,5.26,5.32,0.05
Italy,3,Fish & seafood,4.71,4.76,0.05
Italy,62,Apparel — non-knit,7.2,7.24,0.04
Italy,61,Apparel — knit,8.31,8.28,-0.03
Japan,3,Fish & seafood,6.71,4.66,-2.05
Japan,85,Electrical & electronic equipment,40.05,41.75,1.7
Japan,84,Machinery & mechanical appliances,6.94,8.35,1.41
Japan,61,Apparel — knit,11.95,13.01,1.06
Japan,62,Apparel — non-knit,13.42,12.43,-1.0
Japan,44,Wood & articles,9.33,8.48,-0.85
Japan,64,Footwear,4.44,3.95,-0.49
Japan,39,Plastics,1.59,2.01,0.41
Japan,9,"Coffee, tea, spices",2.05,1.81,-0.24
Japan,94,Furniture & bedding,3.53,3.56,0.03
Netherlands,85,Electrical & electronic equipment,43.39,45.8,2.42
Netherlands,64,Footwear,11.16,10.42,-0.74
Netherlands,9,"Coffee, tea, spices",4.75,4.18,-0.58
Netherlands,62,Apparel — non-knit,8.06,7.52,-0.53
Netherlands,61,Apparel — knit,7.23,6.78,-0.45
Netherlands,3,Fish & seafood,4.13,3.76,-0.37
Netherlands,44,Wood & articles,2.27,2.51,0.23
Netherlands,39,Plastics,2.69,2.87,0.18
Netherlands,94,Furniture & bedding,3.51,3.35,-0.16
Netherlands,84,Machinery & mechanical appliances,12.81,12.82,0.01
