year,partner,hs2_code,hs2_description,trade_value_usd,trade_value_billion,share_of_total_pct,yoy_growth_pct,net_weight_kg,qty,reporter_code,partner_code
2015,Italy,03,Fish & seafood,85000000,0.085,4.709,,,,704,380
2016,Italy,03,Fish & seafood,92000000,0.092,4.684,8.24,,,704,380
2017,Italy,03,Fish & seafood,101000000,0.101,4.674,9.78,,,704,380
2018,Italy,03,Fish & seafood,111000000,0.111,4.674,9.9,,,704,380
2019,Italy,03,Fish & seafood,119000000,0.119,4.687,7.21,,,704,380
2020,Italy,03,Fish & seafood,113000000,0.113,4.65,-5.04,,,704,380
2021,Italy,03,Fish & seafood,126000000,0.126,4.689,11.5,,,704,380
2022,Italy,03,Fish & seafood,144000000,0.144,4.724,14.29,,,704,380
2023,Italy,03,Fish & seafood,162000000,0.162,4.749,12.5,,,704,380
2024,Italy,03,Fish & seafood,178000000,0.178,4.757,9.88,,,704,380
2015,Italy,09,"Coffee, tea, spices",200000000,0.2,11.08,,,,704,380
2016,Italy,09,"Coffee, tea, spices",215000000,0.215,10.947,7.5,,,704,380
2017,Italy,09,"Coffee, tea, spices",235000000,0.235,10.875,9.3,,,704,380
2018,Italy,09,"Coffee, tea, spices",255000000,0.255,10.737,8.51,,,704,380
2019,Italy,09,"Coffee, tea, spices",272000000,0.272,10.713,6.67,,,704,380
2020,Italy,09,"Coffee, tea, spices",260000000,0.26,10.7,-4.41,,,704,380
2021,Italy,09,"Coffee, tea, spices",290000000,0.29,10.793,11.54,,,704,380
2022,Italy,09,"Coffee, tea, spices",330000000,0.33,10.827,13.79,,,704,380
2023,Italy,09,"Coffee, tea, spices",373000000,0.373,10.935,13.03,,,704,380
2024,Italy,09,"Coffee, tea, spices",409000000,0.409,10.93,9.65,,,704,380
2015,Italy,44,Wood & articles,95000000,0.095,5.263,,,,704,380
2016,Italy,44,Wood & articles,103000000,0.103,5.244,8.42,,,704,380
2017,Italy,44,Wood & articles,113000000,0.113,5.229,9.71,,,704,380
2018,Italy,44,Wood & articles,124000000,0.124,5.221,9.73,,,704,380
2019,Italy,44,Wood & articles,133000000,0.133,5.238,7.26,,,704,380
2020,Italy,44,Wood & articles,127000000,0.127,5.226,-4.51,,,704,380
2021,Italy,44,Wood & articles,141000000,0.141,5.247,11.02,,,704,380
2022,Italy,44,Wood & articles,161000000,0.161,5.282,14.18,,,704,380
2023,Italy,44,Wood & articles,181000000,0.181,5.306,12.42,,,704,380
2024,Italy,44,Wood & articles,199000000,0.199,5.318,9.94,,,704,380
2015,Italy,61,Apparel — knit,150000000,0.15,8.31,,,,704,380
2016,Italy,61,Apparel — knit,162000000,0.162,8.248,8.0,,,704,380
2017,Italy,61,Apparel — knit,178000000,0.178,8.237,9.88,,,704,380
2018,Italy,61,Apparel — knit,196000000,0.196,8.253,10.11,,,704,380
2019,Italy,61,Apparel — knit,210000000,0.21,8.271,7.14,,,704,380
2020,Italy,61,Apparel — knit,200000000,0.2,8.23,-4.76,,,704,380
2021,Italy,61,Apparel — knit,222000000,0.222,8.262,11.0,,,704,380
2022,Italy,61,Apparel — knit,252000000,0.252,8.268,13.51,,,704,380
2023,Italy,61,Apparel — knit,283000000,0.283,8.297,12.3,,,704,380
2024,Italy,61,Apparel — knit,310000000,0.31,8.284,9.54,,,704,380
2015,Italy,62,Apparel — non-knit,130000000,0.13,7.202,,,,704,380
2016,Italy,62,Apparel — non-knit,141000000,0.141,7.179,8.46,,,704,380
2017,Italy,62,Apparel — non-knit,155000000,0.155,7.173,9.93,,,704,380
2018,Italy,62,Apparel — non-knit,171000000,0.171,7.2,10.32,,,704,380
2019,Italy,62,Apparel — non-knit,183000000,0.183,7.208,7.02,,,704,380
2020,Italy,62,Apparel — non-knit,174000000,0.174,7.16,-4.92,,,704,380
2021,Italy,62,Apparel — non-knit,194000000,0.194,7.22,11.49,,,704,380
2022,Italy,62,Apparel — non-knit,220000000,0.22,7.218,13.4,,,704,380
2023,Italy,62,Apparel — non-knit,247000000,0.247,7.241,12.27,,,704,380
2024,Italy,62,Apparel — non-knit,271000000,0.271,7.242,9.72,,,704,380
2015,Italy,64,Footwear,180000000,0.18,9.972,,,,704,380
2016,Italy,64,Footwear,195000000,0.195,9.929,8.33,,,704,380
2017,Italy,64,Footwear,212000000,0.212,9.81,8.72,,,704,380
2018,Italy,64,Footwear,232000000,0.232,9.768,9.43,,,704,380
2019,Italy,64,Footwear,248000000,0.248,9.768,6.9,,,704,380
2020,Italy,64,Footwear,235000000,0.235,9.671,-5.24,,,704,380
2021,Italy,64,Footwear,263000000,0.263,9.788,11.91,,,704,380
2022,Italy,64,Footwear,299000000,0.299,9.81,13.69,,,704,380
2023,Italy,64,Footwear,336000000,0.336,9.85,12.37,,,704,380
2024,Italy,64,Footwear,369000000,0.369,9.861,9.82,,,704,380
2015,Italy,72,Iron & steel,290000000,0.29,16.066,,,,704,380
2016,Italy,72,Iron & steel,315000000,0.315,16.039,8.62,,,704,380
2017,Italy,72,Iron & steel,345000000,0.345,15.965,9.52,,,704,380
2018,Italy,72,Iron & steel,380000000,0.38,16.0,10.14,,,704,380
2019,Italy,72,Iron & steel,405000000,0.405,15.951,6.58,,,704,380
