year,partner,total_exports_usd,total_exports_billion
2015,Italy,1805000000,1.805
2016,Italy,1964000000,1.964
2017,Italy,2161000000,2.161
2018,Italy,2375000000,2.375
2019,Italy,2539000000,2.539
2020,Italy,2430000000,2.43
2021,Italy,2687000000,2.687
2022,Italy,3048000000,3.048
2023,Italy,3411000000,3.411
2024,Italy,3742000000,3.742
2015,Japan,8790000000,8.79
2016,Japan,9430000000,9.43
2017,Japan,10400000000,10.4
2018,Japan,11400000000,11.4
2019,Japan,11810000000,11.81
2020,Japan,10620000000,10.62
2021,Japan,12040000000,12.04
2022,Japan,13380000000,13.38
2023,Japan,14580000000,14.58
2024,Japan,15450000000,15.45
2015,Netherlands,4840000000,4.84
2016,Netherlands,5165000000,5.165
2017,Netherlands,5700000000,5.7
2018,Netherlands,6190000000,6.19
2019,Netherlands,6460000000,6.46
2020,Netherlands,6035000000,6.035
2021,Netherlands,7070000000,7.07
2022,Netherlands,8295000000,8.295
2023,Netherlands,9585000000,9.585
2024,Netherlands,12095000000,12.095
