year,partner,exports_billion,yoy_growth_pct
2015,Italy,1.805,
2016,Italy,1.964,8.81
2017,Italy,2.161,10.03
2018,Italy,2.375,9.9
2019,Italy,2.539,6.91
2020,Italy,2.43,-4.29
2021,Italy,2.687,10.58
2022,Italy,3.048,13.44
2023,Italy,3.411,11.91
2024,Italy,3.742,9.7
2015,Japan,8.79,
2016,Japan,9.43,7.28
2017,Japan,10.4,10.29
2018,Japan,11.4,9.62
2019,Japan,11.81,3.6
2020,Japan,10.62,-10.08
2021,Japan,12.04,13.37
2022,Japan,13.38,11.13
2023,Japan,14.58,8.97
2024,Japan,15.45,5.97
2015,Netherlands,4.84,
2016,Netherlands,5.165,6.71
2017,Netherlands,5.7,10.36
2018,Netherlands,6.19,8.6
2019,Netherlands,6.46,4.36
2020,Netherlands,6.035,-6.58
2021,Netherlands,7.07,17.15
2022,Netherlands,8.295,17.33
2023,Netherlands,9.585,15.55
2024,Netherlands,12.095,26.19
