year,partner,vietnam_exports_billion,partner_total_imports_billion,vietnam_share_pct
2015,Italy,1.805,104.207,1.732
2016,Italy,1.964,113.529,1.73
2017,Italy,2.161,137.571,1.571
2018,Italy,2.375,156.536,1.517
2019,Italy,2.539,169.843,1.495
2020,Italy,2.43,181.736,1.337
2021,Italy,2.687,216.193,1.243
2022,Italy,3.048,239.079,1.275
2023,Italy,3.411,228.021,1.496
2024,Italy,3.742,243.643,1.536
2015,Japan,8.79,93.33,9.418
2016,Japan,9.43,101.679,9.274
2017,Japan,10.4,123.212,8.441
2018,Japan,11.4,140.197,8.131
2019,Japan,11.81,152.115,7.764
2020,Japan,10.62,162.767,6.525
2021,Japan,12.04,193.627,6.218
2022,Japan,13.38,214.124,6.249
2023,Japan,14.58,204.221,7.139
2024,Japan,15.45,218.212,7.08
2015,Netherlands,4.84,100.614,4.81
2016,Netherlands,5.165,109.614,4.712
2017,Netherlands,5.7,132.828,4.291
2018,Netherlands,6.19,151.138,4.096
2019,Netherlands,6.46,163.986,3.939
2020,Netherlands,6.035,175.469,3.439
2021,Netherlands,7.07,208.738,3.387
2022,Netherlands,8.295,230.834,3.593
2023,Netherlands,9.585,220.159,4.354
2024,Netherlands,12.095,235.241,5.142
