year,hs2_code,hs2_description,value_million,unit_value_usd_per_kg
2015,44,Wood & articles,820.0,
2016,44,Wood & articles,850.0,
2017,44,Wood & articles,890.0,
2018,44,Wood & articles,940.0,
2019,44,Wood & articles,970.0,
2020,44,Wood & articles,880.0,
2021,44,Wood & articles,980.0,
2022,44,Wood & articles,1090.0,
2023,44,Wood & articles,1270.0,
2024,44,Wood & articles,1310.0,
2015,61,Apparel — knit,1050.0,
2016,61,Apparel — knit,1110.0,
2017,61,Apparel — knit,1190.0,
2018,61,Apparel — knit,1320.0,
2019,61,Apparel — knit,1390.0,
2020,61,Apparel — knit,1190.0,
2021,61,Apparel — knit,1420.0,
2022,61,Apparel — knit,1680.0,
2023,61,Apparel — knit,1910.0,
2024,61,Apparel — knit,2010.0,
2015,62,Apparel — non-knit,1180.0,
2016,62,Apparel — non-knit,1230.0,
2017,62,Apparel — non-knit,1310.0,
2018,62,Apparel — non-knit,1490.0,
2019,62,Apparel — non-knit,1560.0,
2020,62,Apparel — non-knit,1340.0,
2021,62,Apparel — non-knit,1570.0,
2022,62,Apparel — non-knit,1740.0,
2023,62,Apparel — non-knit,1830.0,
2024,62,Apparel — non-knit,1920.0,
2015,84,Machinery & mechanical appliances,610.0,
2016,84,Machinery & mechanical appliances,680.0,
2017,84,Machinery & mechanical appliances,790.0,
2018,84,Machinery & mechanical appliances,890.0,
2019,84,Machinery & mechanical appliances,930.0,
2020,84,Machinery & mechanical appliances,840.0,
2021,84,Machinery & mechanical appliances,960.0,
2022,84,Machinery & mechanical appliances,1080.0,
2023,84,Machinery & mechanical appliances,1210.0,
2024,84,Machinery & mechanical appliances,1290.0,
2015,85,Electrical & electronic equipment,3520.0,
2016,85,Electrical & electronic equipment,3890.0,
2017,85,Electrical & electronic equipment,4410.0,
2018,85,Electrical & electronic equipment,4820.0,
2019,85,Electrical & electronic equipment,5010.0,
2020,85,Electrical & electronic equipment,4650.0,
2021,85,Electrical & electronic equipment,5180.0,
2022,85,Electrical & electronic equipment,5610.0,
2023,85,Electrical & electronic equipment,6030.0,
2024,85,Electrical & electronic equipment,6450.0,
