year,hs2_code,hs2_description,value_million
2015,85,Electrical & electronic equipment,480.0
2015,72,Iron & steel,290.0
2015,9,"Coffee, tea, spices",200.0
2015,64,Footwear,180.0
2015,61,Apparel — knit,150.0
2015,62,Apparel — non-knit,130.0
2015,84,Machinery & mechanical appliances,120.0
2015,44,Wood & articles,95.0
2015,3,Fish & seafood,85.0
2015,94,Furniture & bedding,75.0
2016,85,Electrical & electronic equipment,530.0
2016,72,Iron & steel,315.0
2016,9,"Coffee, tea, spices",215.0
2016,64,Footwear,195.0
2016,61,Apparel — knit,162.0
2016,62,Apparel — non-knit,141.0
2016,84,Machinery & mechanical appliances,130.0
2016,44,Wood & articles,103.0
2016,3,Fish & seafood,92.0
2016,94,Furniture & bedding,81.0
2017,85,Electrical & electronic equipment,590.0
2017,72,Iron & steel,345.0
2017,9,"Coffee, tea, spices",235.0
2017,64,Footwear,212.0
2017,61,Apparel — knit,178.0
2017,62,Apparel — non-knit,155.0
2017,84,Machinery & mechanical appliances,143.0
2017,44,Wood & articles,113.0
2017,3,Fish & seafood,101.0
2017,94,Furniture & bedding,89.0
2018,85,Electrical & electronic equipment,650.0
2018,72,Iron & steel,380.0
2018,9,"Coffee, tea, spices",255.0
2018,64,Footwear,232.0
2018,61,Apparel — knit,196.0
2018,62,Apparel — non-knit,171.0
2018,84,Machinery & mechanical appliances,158.0
2018,44,Wood & articles,124.0
2018,3,Fish & seafood,111.0
2018,94,Furniture & bedding,98.0
2019,85,Electrical & electronic equipment,695.0
2019,72,Iron & steel,405.0
2019,9,"Coffee, tea, spices",272.0
2019,64,Footwear,248.0
2019,61,Apparel — knit,210.0
2019,62,Apparel — non-knit,183.0
2019,84,Machinery & mechanical appliances,169.0
2019,44,Wood & articles,133.0
2019,3,Fish & seafood,119.0
2019,94,Furniture & bedding,105.0
2020,85,Electrical & electronic equipment,680.0
2020,72,Iron & steel,380.0
2020,9,"Coffee, tea, spices",260.0
2020,64,Footwear,235.0
2020,61,Apparel — knit,200.0
2020,62,Apparel — non-knit,174.0
2020,84,Machinery & mechanical appliances,161.0
2020,44,Wood & articles,127.0
2020,3,Fish & seafood,113.0
2020,94,Furniture & bedding,100.0
2021,85,Electrical & electronic equipment,720.0
2021,72,Iron & steel,440.0
2021,9,"Coffee, tea, spices",290.0
2021,64,Footwear,263.0
2021,61,Apparel — knit,222.0
2021,62,Apparel — non-knit,194.0
2021,84,Machinery & mechanical appliances,179.0
2021,44,Wood & articles,141.0
2021,3,Fish & seafood,126.0
2021,94,Furniture & bedding,112.0
2022,85,Electrical & electronic equipment,780.0
2022,72,Iron & steel,530.0
2022,9,"Coffee, tea, spices",330.0
2022,64,Footwear,299.0
2022,61,Apparel — knit,252.0
2022,62,Apparel — non-knit,220.0
2022,84,Machinery & mechanical appliances,204.0
2022,44,Wood & articles,161.0
2022,3,Fish & seafood,144.0
2022,94,Furniture & bedding,128.0
2023,85,Electrical & electronic equipment,847.0
2023,72,Iron & steel,609.0
2023,9,"Coffee, tea, spices",373.0
2023,64,Footwear,336.0
2023,61,Apparel — knit,283.0
2023,62,Apparel — non-knit,247.0
2023,84,Machinery & mechanical appliances,229.0
2023,44,Wood & articles,181.0
2023,3,Fish & seafood,162.0
2023,94,Furniture & bedding,144.0
2024,85,Electrical & electronic equipment,929.0
2024,72,Iron & steel,668.0
2024,9,"Coffee, tea, spices",409.0
2024,64,Footwear,369.0
2024,61,Apparel — knit,310.0
2024,62,Apparel — non-knit,271.0
2024,84,Machinery & mechanical appliances,251.0
2024,44,Wood & articles,199.0
2024,3,Fish & seafood,178.0
2024,94,Furniture & bedding,158.0
