year,hs2_code,hs2_description,value_million
2015,61,Apparel — knit,150.0
2016,61,Apparel — knit,162.0
2017,61,Apparel — knit,178.0
2018,61,Apparel — knit,196.0
2019,61,Apparel — knit,210.0
2020,61,Apparel — knit,200.0
2021,61,Apparel — knit,222.0
2022,61,Apparel — knit,252.0
2023,61,Apparel — knit,283.0
2024,61,Apparel — knit,310.0
2015,62,Apparel — non-knit,130.0
2016,62,Apparel — non-knit,141.0
2017,62,Apparel — non-knit,155.0
2018,62,Apparel — non-knit,171.0
2019,62,Apparel — non-knit,183.0
2020,62,Apparel — non-knit,174.0
2021,62,Apparel — non-knit,194.0
2022,62,Apparel — non-knit,220.0
2023,62,Apparel — non-knit,247.0
2024,62,Apparel — non-knit,271.0
2015,64,Footwear,180.0
2016,64,Footwear,195.0
2017,64,Footwear,212.0
2018,64,Footwear,232.0
2019,64,Footwear,248.0
2020,64,Footwear,235.0
2021,64,Footwear,263.0
2022,64,Footwear,299.0
2023,64,Footwear,336.0
2024,64,Footwear,369.0
