year,total_eu_imports_usd,source,total_eu_imports_billion
2015,30200000000,Pre-researched — EuroCham/Eurostat,30.2
2016,29800000000,Pre-researched — EuroCham/Eurostat,29.8
2017,33400000000,Pre-researched — EuroCham/Eurostat,33.4
2018,36100000000,Pre-researched — EuroCham/Eurostat,36.1
2019,34500000000,Pre-researched — EuroCham/Eurostat,34.5
2020,33100000000,Pre-researched — EuroCham/Eurostat,33.1
2021,39600000000,Pre-researched — EuroCham/Eurostat,39.6
2022,49200000000,Pre-researched — EuroCham/Eurostat,49.2
2023,47800000000,Pre-researched — EuroCham/Eurostat,47.8
2024,51700000000,EuroCham 2025 Trade Report,51.7
