country,year,exports_pct_gdp,gdp_current_usd,merchandise_exports_usd
VNM,2015,89.8,193241000000.0,162100000000.0
VNM,2016,89.3,205276000000.0,176580000000.0
VNM,2017,93.0,223863000000.0,214000000000.0
VNM,2018,99.9,245213000000.0,243500000000.0
VNM,2019,99.8,261921000000.0,264190000000.0
VNM,2020,96.0,271158000000.0,282650000000.0
VNM,2021,99.5,293628000000.0,336250000000.0
VNM,2022,87.9,408947000000.0,371850000000.0
VNM,2023,83.5,430000000000.0,354660000000.0
VNM,2024,82.0,460000000000.0,379000000000.0
